epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,2707.92,0.39934,0.35562,0.85382,0.94952,1,0.99203,0.9214,0.40773,0.4132,0.81347,0.00175844,0.00175844,0.00175844
124,2730.86,0.41684,0.36965,0.85995,0.93797,1,0.98991,0.88892,0.44065,0.40681,0.81498,0.00175646,0.00175646,0.00175646
125,2754.36,0.38591,0.33447,0.86316,0.92291,1,0.99065,0.89032,0.44505,0.41625,0.81888,0.00175448,0.00175448,0.00175448
126,2777.76,0.3833,0.35129,0.84858,0.94382,1,0.9886,0.91153,0.39334,0.40258,0.81747,0.0017525,0.0017525,0.0017525
127,2800.53,0.42354,0.35581,0.86773,0.97021,1,0.99284,0.90024,0.39836,0.38177,0.82226,0.00175052,0.00175052,0.00175052
128,2823.35,0.41553,0.35706,0.86145,0.94089,0.97222,0.97711,0.87845,0.462,0.40176,0.84906,0.00174854,0.00174854,0.00174854
129,2846.51,0.40087,0.37024,0.87191,0.97028,1,0.99365,0.88845,0.46935,0.35598,0.84301,0.00174656,0.00174656,0.00174656
130,2869.79,0.40064,0.34482,0.83681,0.94387,1,0.99065,0.90478,0.42495,0.34696,0.83635,0.00174458,0.00174458,0.00174458
131,2892.7,0.35261,0.32506,0.84015,0.94316,1,0.98837,0.93113,0.37257,0.33377,0.81266,0.0017426,0.0017426,0.0017426
132,2915.96,0.43044,0.36713,0.91024,0.94607,1,0.98932,0.93672,0.39081,0.35333,0.81226,0.00174062,0.00174062,0.00174062
133,2939.25,0.39046,0.34527,0.83929,0.94497,1,0.99228,0.91799,0.41198,0.36399,0.81219,0.00173864,0.00173864,0.00173864
134,2962.31,0.38782,0.3397,0.85524,0.9729,0.99712,0.99446,0.92419,0.39003,0.34871,0.81042,0.00173666,0.00173666,0.00173666
135,2984.92,0.36665,0.34802,0.85736,0.97207,1,0.99446,0.92895,0.36815,0.33502,0.80619,0.00173468,0.00173468,0.00173468
136,3008.5,0.38839,0.34173,0.87298,0.9727,1,0.99446,0.91792,0.37189,0.34546,0.8098,0.0017327,0.0017327,0.0017327
137,3031.66,0.40602,0.33691,0.87809,0.97673,0.97222,0.99395,0.92681,0.38344,0.35795,0.81501,0.00173072,0.00173072,0.00173072
138,3054.84,0.38565,0.35697,0.85085,0.94498,1,0.99311,0.9178,0.39594,0.35285,0.83076,0.00172874,0.00172874,0.00172874
139,3077.54,0.43965,0.36985,0.86875,0.94285,1,0.99237,0.92552,0.3858,0.35113,0.83228,0.00172676,0.00172676,0.00172676
140,3100.36,0.39928,0.35049,0.8707,0.94355,1,0.99237,0.9278,0.36782,0.35282,0.82386,0.00172478,0.00172478,0.00172478
141,3123.25,0.41673,0.35218,0.88062,0.94887,0.94444,0.99184,0.93289,0.35692,0.36055,0.82359,0.0017228,0.0017228,0.0017228
142,3146.36,0.41624,0.35424,0.87615,0.94571,0.96785,0.99094,0.93733,0.37122,0.37184,0.8271,0.00172082,0.00172082,0.00172082
143,3169.32,0.40778,0.37646,0.87468,0.94495,0.95387,0.99094,0.92797,0.39734,0.38588,0.83038,0.00171884,0.00171884,0.00171884
